date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:58	9454/9454	---MC-	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2007:07:42%20GMT	https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/index53cb.html	(from )
14:07:58	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-636b7654c7eb8%22	https://gbyarbrlmofstval.my.id/robots.txt		(from )
14:07:59	194186/194186	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fc-2f68a%22	https://gbyarbrlmofstval.my.id/img/A1.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A1.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:07:59	154855/154855	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fa-25ce7%22	https://gbyarbrlmofstval.my.id/img/A2.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A2.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:00	105805/105805	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fc-19d4d%22	https://gbyarbrlmofstval.my.id/img/A3.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A3.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:01	142602/142602	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fc-22d0a%22	https://gbyarbrlmofstval.my.id/img/A4.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A4.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:01	148768/148768	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fc-24520%22	https://gbyarbrlmofstval.my.id/img/A5.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A5.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:02	402799/402799	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fa-6256f%22	https://gbyarbrlmofstval.my.id/img/A6.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A6.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:02	147900/147900	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fa-241bc%22	https://gbyarbrlmofstval.my.id/img/A7.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A7.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:03	141340/141340	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fa-2281c%22	https://gbyarbrlmofstval.my.id/img/A8.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A8.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:03	54654/54654	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fc-d57e%22	https://gbyarbrlmofstval.my.id/img/A9.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A9.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:04	211096/211096	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fa-33898%22	https://gbyarbrlmofstval.my.id/img/A10.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A10.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:04	138547/138547	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fa-21d33%22	https://gbyarbrlmofstval.my.id/img/A11.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A11.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:05	142650/142650	---M--	200	added ('OK')	image/png	etag:%22683fe3fa-22d3a%22	https://gbyarbrlmofstval.my.id/img/A12.png	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A12.png	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:05	6474/6474	---MC-	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2007:07:49%20GMT	https://gbyarbrlmofstval.my.id/form.php	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/form.html	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:06	130919/130919	---M--	200	added ('OK')	image/png	etag:%22683fe3fa-1ff67%22	https://gbyarbrlmofstval.my.id/img/A13.png	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A13.png	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
14:08:07	140173/140173	---M--	200	added ('OK')	image/jpeg	etag:%22683fe3fc-2238d%22	https://gbyarbrlmofstval.my.id/img/A14.jpg	C:/Users/acer/Desktop/11111/bribri/gbyarbrlmofstval.my.id/img/A14.jpg	(from https://gbyarbrlmofstval.my.id/?fbclid=IwY2xjawKzZmlleHRuA2FlbQIxMABicmlkETE0NllNN2pCSW90UEhRaHhKAR5F9oFKWM8NN5rTBZwBTKlaxIvpEf_SZDhZIJ7wPySh8V0_hQ9ZAHkpWEJudw_aem_a6CX3d9Wo50yP74bhq6vIA)
